Time, HInput, VInput, Distance
19.84846, 0, 1, 0
19.86517, 0, 1, 0
19.88239, 0, 1, 0
19.89845, 0, 1, 0
19.9151, 0, 1, 0
19.93159, 0, 1, 0
19.94855, 0, 1, 0
19.96516, 0, 1, 0
19.98188, 0, 1, 0
19.99848, 0, 1, 0
20.01518, 0, 1, 0
20.03184, 0, 1, 0
20.04885, 0, 1, 0
20.06498, 0, 1, 0
20.08158, 0, 1, 0
20.09828, 0, 1, 0
20.11516, 0, 1, 0
20.13177, 0, 1, 0
20.14935, 0, 1, 0
20.16553, 0, 1, 0
20.18237, 0, 1, 0
20.1982, 0, 1, 0
20.21528, 0, 1, 0
20.23161, 0, 1, 0
20.24823, 0, 1, 0
20.26509, 0, 1, 0
20.28177, 0, 1, 0
20.29819, 0, 1, 0
20.3149, 0, 1, 0
20.33179, 0, 1, 0
20.34859, 0, 1, 0
20.36501, 0, 1, 0
20.38166, 0, 1, 0
20.39805, 0, 1, 0
20.41524, 0, 1, 0
20.43165, 0, 1, 0
20.44831, 0, 1, 0
20.46522, 0, 1, 0
20.4814, 0, 1, 0
20.49837, 0, 1, 0
20.51482, 0, 1, 0
20.53149, 0, 1, 0
20.54812, 0, 1, 0
20.56486, 0, 1, 0
20.58141, 0, 1, 0
20.59806, 0, 1, 0
20.6149, 0, 1, 0
20.63163, 0, 1, 0
20.64845, 0, 1, 0
20.66473, 0, 1, 0
20.6817, 0, 1, 0
20.69818, 0, 1, 0
20.71482, 0, 1, 0
20.73171, 0, 1, 0
20.74866, 0, 1, 0
20.76501, 0, 1, 0
20.78203, 0, 1, 0
20.7991, 0, 1, 0
20.81513, 0, 1, 0
20.83204, 0, 1, 0
20.84869, 0, 1, 0
20.86535, 0, 1, 0
20.88153, 0, 1, 0
20.89906, 0, 1, 0
20.91531, 0, 1, 0
20.93169, 0, 1, 0
20.94888, 0, 1, 0
20.96527, 0, 1, 0
20.98203, 0, 1, 0
20.99845, 0, 1, 0
21.01554, 0, 1, 0
21.03069, 0, 1, 0
21.0474, 0, 1, 0
21.06406, 0, 1, 0
21.08052, 0, 1, 0
21.09731, 0, 1, 0
21.11416, 0, 1, 0
21.13061, 0, 1, 0
21.14719, 0, 1, 0
21.16388, 0, 1, 0
21.18058, 0, 1, 0
21.19721, 0, 1, 0
21.21409, 0, 1, 0
21.23057, 0, 1, 0
21.24853, 0, 1, 0
21.26541, 0, 1, 0
21.28173, 0, 1, 0
21.29832, 0, 1, 0
21.31537, 0, 1, 0
21.33168, 0, 1, 0
21.34864, 0, 1, 0
21.3651, 0, 1, 0
21.38177, 0, 1, 0
21.39823, 0, 1, 0
21.4151, 0, 1, 0
21.43196, 0, 1, 0
21.44854, 0, 1, 0
21.4649, 0, 1, 0
21.48175, 0, 1, 0
21.49816, 0, 1, 0
21.51517, 0, 1, 0
21.53194, 0, 1, 0
21.54857, 0, 1, 0
21.56529, 0, 1, 0
21.58211, 0, 1, 0
21.59857, -0.04939246, 1, 0
21.61425, -0.09643341, 1, 0
21.631, -0.1466796, 1, 0
21.64715, -0.1951235, 1, 0
21.66375, -0.2449394, 1, 0
21.68051, -0.2952136, 1, 0
21.69744, -0.3460072, 1, 0
21.71379, -0.2969787, 1, 0
21.73074, -0.2461169, 1, 0
21.74685, -0.1977854, 1, 0
21.76349, -0.1478531, 1, 0
21.78036, -0.09726055, 1, 0
21.79715, -0.04687905, 1, 0
21.81397, 0, 1, 0
21.83081, 0, 1, 0
21.84714, 0, 1, 0
21.86379, 0, 1, 0
21.88081, 0, 1, 0
21.89707, 0, 1, 0
21.91363, 0, 1, 0
21.93036, 0, 1, 0
21.94707, 0, 1, 0
21.96428, 0, 1, 0
21.98046, 0, 1, 0
21.99722, 0, 1, 0
22.01394, 0, 1, 0
22.03095, 0, 1, 0
22.04703, 0, 1, 0
22.06385, 0, 1, 0
22.08024, 0, 1, 0
22.09712, 0, 1, 0
22.1138, 0, 1, 0
22.13015, 0, 1, 0
22.1472, 0, 1, 0
22.16386, 0, 1, 0
22.18067, 0, 1, 0
22.1973, 0, 1, 0
22.21414, 0, 1, 0
22.23068, 0, 1, 0
22.24704, 0, 1, 0
22.26372, 0, 1, 0
22.28071, 0, 1, 0
22.29705, 0, 1, 0
22.3138, 0, 1, 0
22.33062, 0, 1, 0
22.34752, 0, 1, 0
22.36395, 0, 1, 0
22.38052, 0, 1, 0
22.39726, 0, 1, 0
22.41416, 0, 1, 0
22.4307, 0, 1, 0
22.44739, 0, 1, 0
22.46384, 0, 1, 0
22.48058, 0, 1, 0
22.49734, 0, 1, 0
22.51401, 0, 1, 0
22.53065, 0, 1, 0
22.54749, 0, 1, 0
22.56421, 0, 1, 0
22.58034, 0, 1, 0
22.59709, 0, 1, 0
22.61379, 0, 1, 0
22.63033, 0, 1, 0
22.64725, 0, 1, 0
22.664, 0, 1, 0
22.68074, 0, 1, 0
22.69717, 0, 1, 0
22.71477, 0, 1, 0
22.73168, 0, 1, 0
22.74844, 0, 1, 0
22.76483, 0, 1, 0
22.78156, 0, 1, 0
22.79781, 0, 1, 0
22.81421, 0, 1, 0
22.83037, 0, 1, 0
22.84709, 0, 1, 0
22.86364, 0, 1, 0
22.88068, 0, 1, 0
22.89701, 0, 1, 0
22.91399, 0, 1, 0
22.93044, 0, 1, 0
22.94804, 0, 1, 0
22.96499, 0, 1, 0
22.98145, 0, 1, 0
22.99796, 0, 1, 0
23.01472, 0, 1, 0
23.03134, 0, 1, 0
23.04824, 0, 1, 0
23.06479, 0, 1, 0
23.08159, 0, 1, 0
23.09912, 0, 1, 0
23.11555, 0, 1, 0
23.13152, 0, 1, 0
23.14839, 0, 1, 0
23.16508, 0, 1, 0
23.18202, 0, 1, 0
23.1984, 0, 1, 0
23.21533, 0, 1, 0
23.2317, 0, 1, 0
23.24861, 0, 1, 0
23.26509, 0, 1, 0
23.28192, 0, 1, 0
23.29812, 0, 1, 0
23.31521, 0, 1, 0
23.33161, 0, 1, 0
23.34816, 0, 1, 0
23.36487, 0, 1, 0
23.3817, 0, 1, 0
23.39808, 0, 1, 0
23.41462, 0, 1, 0
23.43141, 0, 1, 0
23.44798, 0, 1, 0
23.46477, 0, 1, 0
23.48226, 0, 1, 0
23.49788, 0, 1, 0
23.51483, 0, 1, 0
23.53144, 0, 1, 0
23.5485, 0, 1, 0
23.56498, 0, 1, 0
23.58183, 0, 1, 0
23.59831, 0, 1, 0
23.61513, 0, 1, 0
23.63177, 0, 1, 0
23.6486, 0, 1, 0
23.66522, 0, 1, 0
23.68179, 0, 1, 0
23.69806, 0, 1, 0
23.71474, 0, 1, 0
23.73134, 0, 1, 0
23.74811, 0, 1, 0
23.76483, 0, 1, 0
23.78152, 0, 1, 0
23.79818, 0, 1, 0
23.81475, 0, 1, 0
23.83152, 0, 1, 0
23.84791, 0, 1, 0
